Atomic Number;Symbol;Group;Old Group;Period;English;German;French;Spanish;Italian;Atomic Mass;Atomic Mass (IUPAC 2005);Melting Point, °C;Boiling Point, °C;State at Room Temperature;Density (g/mL);Electronegativity (Pauling);1st ionization potential (eV) ;2nd ionization potential (eV) ;3rd ionization potential (eV) ;1st ionization potential (kJ/mol) ;2nd ionization potential (kJ/mol) ;3rd ionization potential (kJ/mol) ;Predicted Electron Configuration;Observed Electron Configuration;Atomic Radius (pm);Atomic Volume (cm^3/mol);Crystal Structure;CAS Registry Number;Electrical Conductivity (mho/cm) ;Specific Heat (J/g K) ;Heat of Fusion (kJ/mol) ;Heat of Vaporization (kJ/mol) ;Thermal Conductivity (W/(m K)) ;mg/kg in Earth's crust;mg/L in seawater;% human body mass;Source;Color;Uses;Year Discovered
93;Np;actinides;actinides;7;neptunium;Neptunium;neptunium;neptunio;nettunio;237;237;640;3900;s;20.2;1.36;6.2657;N/A;N/A;605;N/A;N/A;[Rn] 7s2 5f5;[Rn] 7s2 5f5;155;11.62;orthorhombic;7439-99-8;0.00822;0.12;5.19;N/A;6.3;N/A;N/A;N/A;Synthetic;silvery;N/A;1940
94;Pu;actinides;actinides;7;plutonium;Plutonium;plutonium;plutonio;plutonio;239;239;641;3232;s;19.8;1.28;6.06;N/A;N/A;585;N/A;N/A;[Rn] 7s2 5f6;[Rn] 7s2 5f6;159;12.32;monoclinic;05.07.7440;0.00666;0.13;2.84;344;6.74;N/A;N/A;N/A;Synthetic;silvery;weapon fuel, pacemakers;1940
95;Am;actinides;actinides;7;americium;Amerizium;américium;americio;americio;243;243;994;2607;s;13.7;1.3;5.9933;N/A;N/A;578;N/A;N/A;[Rn] 7s2 5f7;[Rn] 7s2 5f7;173;17.86;hexagonal;7440-35-9;0.022;0.11;14.4;N/A;10;N/A;N/A;N/A;Synthetic;silvery-white;smoke detector;1944
96;Cm;actinides;actinides;7;curium;Kurium;curium;curio;curio;247;247;1340;N/A;s;13.5;1.3;6.02;N/A;N/A;581;N/A;N/A;[Rn] 7s2 5f8;[Rn] 7s2 5f8;174;18.28;hexagonal;7440-51-9;N/A;N/A;15;N/A;10;N/A;N/A;N/A;Synthetic;silvery-white;thermoelec. pwr, n source;1944
97;Bk;actinides;actinides;7;berkelium;Berkelium;berkélium;berkelio;berkelio;247;247;986;N/A;s;14;1.3;6.23;N/A;N/A;601;N/A;N/A;[Rn] 7s2 5f9;[Rn] 7s2 5f9;170;N/A;N/A;7440-40-6;N/A;N/A;N/A;N/A;10;N/A;N/A;N/A;Synthetic;silvery;N/A;1949
98;Cf;actinides;actinides;7;californium;Kalifornium;californium;californio;californio;251;251;N/A;N/A;N/A;N/A;1.3;6.3;N/A;N/A;608;N/A;N/A;[Rn] 7s2 5f10;[Rn] 7s2 5f10;186;N/A;N/A;7440-71-3;N/A;N/A;N/A;N/A;10;N/A;N/A;N/A;Synthetic;N/A;neutron source;1949
99;Es;actinides;actinides;7;einsteinium;Einsteinium;einsteinium;einstenio;einstenio;252;252;N/A;N/A;N/A;N/A;1.3;6.42;N/A;N/A;619;N/A;N/A;[Rn] 7s2 5f11;[Rn] 7s2 5f11;186;N/A;N/A;7429-92-7;N/A;N/A;N/A;N/A;10;N/A;N/A;N/A;Synthetic;N/A;N/A;1954
100;Fm;actinides;actinides;7;fermium;Fermium;fermium;fermio;fermio;257;257;N/A;N/A;N/A;N/A;1.3;6.5;N/A;N/A;627;N/A;N/A;[Rn] 7s2 5f12;[Rn] 7s2 5f12;N/A;N/A;N/A;7440-72-4;N/A;N/A;N/A;N/A;10;N/A;N/A;N/A;Synthetic;N/A;N/A;1954
101;Md;actinides;actinides;7;mendelevium;Mendelevium;mendélévium;mendelevio;mendelevio;258;258;N/A;N/A;N/A;N/A;1.3;6.58;N/A;N/A;635;N/A;N/A;[Rn] 7s2 5f13;[Rn] 7s2 5f13;N/A;N/A;N/A;01.11.7440;N/A;N/A;N/A;N/A;10;N/A;N/A;N/A;Synthetic;N/A;N/A;1955
102;No;actinides;actinides;7;nobelium;Nobelium;nobélium;nobelio;nobelio;259;259;N/A;N/A;N/A;N/A;1.3;6.65;N/A;N/A;642;N/A;N/A;[Rn] 7s2 5f14;[Rn] 7s2 5f14;N/A;N/A;N/A;10028-14-5;N/A;N/A;N/A;N/A;10;N/A;N/A;N/A;Synthetic;N/A;N/A;1958
103;Lr;3;actinides;7;lawrencium;Lawrencium;lawrencium;lawrencio;laurenzio;262;262;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d1;[Rn] 7s2 5f14 6d1;N/A;N/A;N/A;22537-19-5;N/A;N/A;N/A;N/A;10;N/A;N/A;N/A;Synthetic;N/A;N/A;1961
104;Rf;4;IV B;7;rutherfordium;Rutherfordium;rutherfordium;ruterfordio;rutherfordio;261;261;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d2;[Rn] 7s2 5f14 6d2;N/A;N/A;N/A;53850-36-5;N/A;N/A;N/A;N/A;23;N/A;N/A;N/A;N/A;N/A;N/A;N/A
105;Db;5;V B;7;dubnium;Dubnium;dubnium;dubnio;dubnio;262;262;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d3;[Rn] 7s2 5f14 6d3;N/A;N/A;N/A;53850-35-4;N/A;N/A;N/A;N/A;58;N/A;N/A;N/A;N/A;N/A;N/A;N/A
106;Sg;6;VI B;7;seaborgium;Seaborgium;seaborgium;seaborgio;seaborgio;266;266;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d4;[Rn] 7s2 5f14 6d4;N/A;N/A;N/A;54038-81-2;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
107;Bh;7;VII B;7;bohrium;Bohrium;bohrium;bohrio;bohrio;264;264;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d5;[Rn] 7s2 5f14 6d5;N/A;N/A;N/A;54037-14-8;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
108;Hs;8;VIII B;7;hassium;Hassium;hassium;hassio;hassio;277;277;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d6;[Rn] 7s2 5f14 6d6;N/A;N/A;N/A;54037-57-9;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
109;Mt;9;VIII B;7;meitnerium;Meitnerium ;meitnérium;meitnerio;meitnerio;268;268;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d7;[Rn] 7s2 5f14 6d7;N/A;N/A;N/A;54038-01-6;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
110;Ds;10;VIII B;7;darmstadtium;Darmstadtium;darmstadtium;darmstadtio;darmstadtio;281;281;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d8;[Rn] 7s2 5f14 6d8;N/A;N/A;N/A;54083-77-1;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
111;Rg;11;I B;7;roentgentium;Roentgentium;roentgentium;roentgentio;roentgentio;272;272;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d9;[Rn] 7s2 5f14 6d9;N/A;N/A;N/A;54386-24-2;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
112;Cn;12;II B;7;copernicum;Kopernikum;copérnicum;copernico;copernico;285;285;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d10;[Rn] 7s2 5f14 6d10;N/A;N/A;N/A;54084-26-3;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
113;Nh;13;III A;7;nihonium;Ununtrium;ununtrium;ununtrio;ununtrio;284;284;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d10 7p1;[Rn] 7s2 5f14 6d10 7p1;N/A;N/A;N/A;54084-70-7;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
114;Fl;14;IV A;7;flerovium;Flerovium;flerovium;flerovio;flerovio;289;289;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d10 7p2;[Rn] 7s2 5f14 6d10 7p2;N/A;N/A;N/A;54085-16-4;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
115;Mc;15;V A;7;moscovium;Ununpentium;ununpentium;ununpentio;ununpentio;288;288;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d10 7p3;[Rn] 7s2 5f14 6d10 7p3;N/A;N/A;N/A;54085-64-2;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
116;Lv;16;VI A;7;livermorium;Livermorium;livermorium;livermorio;livermorio;292;292;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d10 7p4;[Rn] 7s2 5f14 6d10 7p4;N/A;N/A;N/A;54100-71-9;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
117;Ts;17;VII A;7;tennessine;Ununseptium;ununseptium;ununseptio;ununseptio;293;293;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d10 7p5;[Rn] 7s2 5f14 6d10 7p5;N/A;N/A;N/A;87658-56-8;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
118;Og;18;VIII A;7;oganesson;Ununoctium;ununoctium;ununoctio;ununoctio;294;294;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;[Rn] 7s2 5f14 6d10 7p6;[Rn] 7s2 5f14 6d10 7p6;N/A;N/A;N/A;54144-19-3;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
